Month,Temperature,Humidity,Rainfall,Dengue_Cases,Risk_Level
7,24.193710120858583,100.0,150.15341867989366,140,High
4,29.74529467869613,64.17218837225487,43.63101623455592,1,Low
11,28.1520139126728,72.85635834887587,22.062684136883757,35,Moderate
8,28.352523174708672,86.03538153949175,234.41026532264414,165,High
5,30.454071890921668,62.35289960213676,35.03069280558311,5,Low
7,33.99129703313645,99.31152117761741,177.8196584896307,178,High
10,26.97049385030662,32.67508969880516,54.53402563697583,5,Low
3,21.325663704489642,60.126273814992274,20.652278310305274,3,Low
7,29.63823843457959,82.39963749819555,157.30884562478116,92,Moderate
11,30.588783758810965,55.265589486179806,121.639000748287,48,Moderate
11,26.067254150802505,70.88476332384396,11.744893129222685,8,Low
8,25.979625313035644,76.19988018309236,167.84083289864847,41,Moderate
5,23.096937347990636,64.86176198713352,67.60599261616707,64,Moderate
4,22.14250047916072,72.55695656494856,87.89987215553504,68,Moderate
8,28.54296376627486,87.6918092025516,234.94765358587105,156,High
8,25.53641488952813,82.8421287367178,168.54810693981946,2,Moderate
3,34.73571076583148,79.15324254383833,45.88142734328713,50,Moderate
6,26.624441694806514,73.22238542008643,194.1172534198918,74,Moderate
5,32.31472333372518,61.202030956540966,1.4117980191618056,6,Low
2,27.845966121997172,73.36324606436189,14.161695467034185,6,Low
8,31.16645673079114,99.69784258787496,200.75138751435486,98,High
12,31.534639749946688,39.25088082133783,49.510845654276714,2,Low
6,26.478380021081914,78.77729777106003,104.13255569948505,58,Moderate
2,21.694431372063,64.95617891978392,67.86319068245167,6,Low
12,33.906161398903585,76.38234899860345,16.409020612627184,74,Moderate
5,33.520365416589804,87.95870385467842,41.61501529512491,47,Moderate
1,25.497749193961884,49.42489454154301,4.613563485121594,6,Low
12,29.583214133749635,59.3583849635868,26.693243668458866,5,Low
10,29.976120745130956,65.67176956186442,69.34689499825025,30,Moderate
6,33.3379029156099,66.59733615204432,126.4436797313241,4,Moderate
12,25.79877938461832,96.02404863755213,233.58012320922938,162,High
9,29.78663912750899,98.28166053957332,216.81389446237813,155,High
1,27.89778371603422,61.666798307697,34.47661601973612,3,Low
11,32.69091607703746,73.06583547404465,19.988846856554833,17,Moderate
11,30.174400618377728,51.96775710885867,29.044803250706952,6,Low
10,26.517542671655576,64.06478932365604,97.22809836732678,44,Moderate
12,31.086794842593378,74.76179891875262,57.63374573562422,61,Moderate
12,16.605829517479698,65.00709393426233,107.04082857181696,87,Moderate
3,32.59506280148841,68.59919711650078,11.377104807988884,0,Low
12,21.0411448848876,62.06001831327443,103.32078451853108,36,Moderate
7,30.256784111833575,79.95701984187377,163.14853194236514,45,Moderate
4,23.521320421495425,74.82389817008858,109.73107461191461,79,Moderate
9,29.16488109717632,78.92176107384375,252.8362455640209,100,High
3,32.64330714951408,70.27602446175158,18.886731341513112,88,Moderate
5,26.129195194752434,73.37896175871325,35.881069961613285,52,Moderate
3,29.38601552692286,80.39084132675289,141.24902591279567,48,Moderate
7,32.31854351563117,67.34612412970026,248.34035521252721,144,High
5,29.908163308892487,95.53771987194408,21.71105445905906,41,Moderate
9,32.34947966333103,100.0,235.95843331777186,181,High
7,31.005163055736514,72.10519412790312,290.9885893656299,117,High
2,31.98506727778856,59.00450506714016,11.104511412505431,6,Low
4,26.02497366735475,97.27092883836737,27.651367836070477,42,Moderate
9,31.694367317722943,85.5844948070565,195.84553361284085,127,High
12,26.28753935613635,78.29560128778537,123.50062687041654,101,Moderate
2,34.00303916253724,73.51036681529722,71.76044555729652,58,Moderate
10,31.40088696845397,66.27207072888326,35.17154948068405,62,Moderate
9,29.36373099023872,94.12620322540441,232.44409629519194,184,High
